全量更新,#genre#
CCTV1,http://121.230.144.64:8000/rtp/239.49.8.19:9614$江苏电信
CCTV2,http://121.230.144.64:8000/rtp/239.49.8.50:9802$江苏电信
CCTV3,http://121.230.144.64:8000/rtp/239.49.8.74:8000$江苏电信
CCTV4,http://121.230.144.64:8000/rtp/239.49.8.51:9806$江苏电信
CCTV5,http://121.230.144.64:8000/rtp/239.49.8.75:8000$江苏电信
CCTV5+,http://121.230.144.64:8000/rtp/239.49.8.18:9610$江苏电信
CCTV6,http://121.230.144.64:8000/rtp/239.49.8.76:8000$江苏电信
CCTV7,http://121.230.144.64:8000/rtp/239.49.0.126:8000$江苏电信
CCTV8,http://121.230.144.64:8000/rtp/239.49.8.77:8000$江苏电信
CCTV9,http://121.230.144.64:8000/rtp/239.49.8.53:9814$江苏电信
CCTV10,http://121.230.144.64:8000/rtp/239.49.8.54:9818$江苏电信
CCTV11,http://121.230.144.64:8000/rtp/239.49.0.127:8000$江苏电信
CCTV12,http://121.230.144.64:8000/rtp/239.49.8.55:9822$江苏电信
CCTV13,http://121.230.144.64:8000/rtp/239.49.8.109:8000$江苏电信
CCTV14,http://121.230.144.64:8000/rtp/239.49.8.56:9826$江苏电信
CCTV15,http://121.230.144.64:8000/rtp/239.49.0.128:8000$江苏电信
CCTV16,http://121.230.144.64:8000/rtp/239.49.8.31:8000$江苏电信
CCTV17,http://121.230.144.64:8000/rtp/239.49.8.52:9810$江苏电信
CCTV1,http://121.230.144.64:8000/rtp/239.49.1.1:6000$江苏电信
CCTV2,http://121.230.144.64:8000/rtp/239.49.8.130:6000$江苏电信
CCTV2,http://121.230.144.64:8000/rtp/239.49.1.2:6000$江苏电信
CCTV3,http://121.230.144.64:8000/rtp/239.49.1.3:6000$江苏电信
CCTV4,http://121.230.144.64:8000/rtp/239.49.8.131:6000$江苏电信
CCTV4,http://121.230.144.64:8000/rtp/239.49.1.4:6000$江苏电信
CCTV5,http://121.230.144.64:8000/rtp/239.49.1.5:6000$江苏电信
CCTV6,http://121.230.144.64:8000/rtp/239.49.1.6:6000$江苏电信
CCTV7,http://121.230.144.64:8000/rtp/239.49.8.132:6000$江苏电信
CCTV7,http://121.230.144.64:8000/rtp/239.49.1.254:6000$江苏电信
CCTV8,http://121.230.144.64:8000/rtp/239.49.1.8:6000$江苏电信
CCTV10,http://121.230.144.64:8000/rtp/239.49.8.134:6000$江苏电信
CCTV10,http://121.230.144.64:8000/rtp/239.49.1.10:6000$江苏电信
CCTV11,http://121.230.144.64:8000/rtp/239.49.1.11:6000$江苏电信
CCTV12,http://121.230.144.64:8000/rtp/239.49.8.135:6000$江苏电信
CCTV12,http://121.230.144.64:8000/rtp/239.49.1.12:6000$江苏电信
CCTV13,http://121.230.144.64:8000/rtp/239.49.1.13:6000$江苏电信
CCTV14,http://121.230.144.64:8000/rtp/239.49.8.136:6000$江苏电信
CCTV14,http://121.230.144.64:8000/rtp/239.49.1.14:6000$江苏电信
CCTV15,http://121.230.144.64:8000/rtp/239.49.1.15:6000$江苏电信
CCTV17,http://121.230.144.64:8000/rtp/239.49.1.7:6000$江苏电信
江苏卫视4K,http://121.230.144.64:8000/rtp/239.49.1.61:8000$江苏电信
北京卫视4K,http://121.230.144.64:8000/rtp/239.49.0.42:8000$江苏电信
北京卫视4K,http://121.230.144.64:8000/rtp/239.49.0.253:8000$江苏电信
广东卫视4K,http://121.230.144.64:8000/rtp/239.49.1.24:8000$江苏电信
广东卫视4K,http://121.230.144.64:8000/rtp/239.49.1.26:8000$江苏电信
深圳卫视4K,http://121.230.144.64:8000/rtp/239.49.1.27:8000$江苏电信
深圳卫视4K,http://121.230.144.64:8000/rtp/239.49.1.28:8000$江苏电信
浙江卫视4K,http://121.230.144.64:8000/rtp/239.49.1.63:8000$江苏电信
四川卫视4K,http://121.230.144.64:8000/rtp/239.49.1.65:8000$江苏电信
湖南卫视4K,http://121.230.144.64:8000/rtp/239.49.1.67:8000$江苏电信
东方卫视4K,http://121.230.144.64:8000/rtp/239.49.1.69:8000$江苏电信
山东卫视4K,http://121.230.144.64:8000/rtp/239.49.1.71:8000$江苏电信
江苏卫视4K,http://121.230.144.64:8000/rtp/239.49.1.62:8000$江苏电信
湖南卫视,http://121.230.144.64:8000/rtp/239.49.8.12:9418$江苏电信
浙江卫视,http://121.230.144.64:8000/rtp/239.49.8.20:9618$江苏电信
江苏卫视,http://121.230.144.64:8000/rtp/239.49.8.16:9602$江苏电信
北京卫视,http://121.230.144.64:8000/rtp/239.49.8.11:9414$江苏电信
东方卫视,http://121.230.144.64:8000/rtp/239.49.8.17:9606$江苏电信
东南卫视,http://121.230.144.64:8000/rtp/239.49.8.112:8000$江苏电信
广东卫视,http://121.230.144.64:8000/rtp/239.49.8.13:9422$江苏电信
广西卫视,http://121.230.144.64:8000/rtp/239.49.8.10:8000$江苏电信
安徽卫视,http://121.230.144.64:8000/rtp/239.49.8.80:8000$江苏电信
河北卫视,http://121.230.144.64:8000/rtp/239.49.8.114:8000$江苏电信
河南卫视,http://121.230.144.64:8000/rtp/239.49.8.29:8000$江苏电信
黑龙江卫视,http://121.230.144.64:8000/rtp/239.49.8.14:9426$江苏电信
湖北卫视,http://121.230.144.64:8000/rtp/239.49.8.8:9632$江苏电信
吉林卫视,http://121.230.144.64:8000/rtp/239.49.8.113:8000$江苏电信
江西卫视,http://121.230.144.64:8000/rtp/239.49.8.111:8000$江苏电信
辽宁卫视,http://121.230.144.64:8000/rtp/239.49.8.48:8000$江苏电信
山东卫视,http://121.230.144.64:8000/rtp/239.49.8.7:9306$江苏电信
深圳卫视,http://121.230.144.64:8000/rtp/239.49.8.15:9430$江苏电信
四川卫视,http://121.230.144.64:8000/rtp/239.49.8.110:8000$江苏电信
天津卫视,http://121.230.144.64:8000/rtp/239.49.8.35:8620$江苏电信
云南卫视,http://121.230.144.64:8000/rtp/239.49.0.177:8000$江苏电信
重庆卫视,http://121.230.144.64:8000/rtp/239.49.8.57:9830$江苏电信
贵州卫视,http://121.230.144.64:8000/rtp/239.49.8.49:8000$江苏电信
海南卫视,http://121.230.144.64:8000/rtp/239.49.8.83:8000$江苏电信
东南卫视,http://121.230.144.64:8000/rtp/239.49.1.45:6000$江苏电信
东方卫视,http://121.230.144.64:8000/rtp/239.49.1.32:6000$江苏电信
东方卫视,http://121.230.144.64:8000/rtp/239.49.8.140:6000$江苏电信
云南卫视,http://121.230.144.64:8000/rtp/239.49.1.235:6000$江苏电信
北京卫视,http://121.230.144.64:8000/rtp/239.49.1.33:6000$江苏电信
北京卫视,http://121.230.144.64:8000/rtp/239.49.8.141:6000$江苏电信
吉林卫视,http://121.230.144.64:8000/rtp/239.49.1.49:6000$江苏电信
四川卫视,http://121.230.144.64:8000/rtp/239.49.1.43:6000$江苏电信
天津卫视,http://121.230.144.64:8000/rtp/239.49.1.46:6000$江苏电信
天津卫视,http://121.230.144.64:8000/rtp/239.49.8.148:6000$江苏电信
安徽卫视,http://121.230.144.64:8000/rtp/239.49.1.36:6000$江苏电信
安徽卫视,http://121.230.144.64:8000/rtp/239.49.8.204:6000$江苏电信
山东卫视,http://121.230.144.64:8000/rtp/239.49.1.37:6000$江苏电信
山东卫视,http://121.230.144.64:8000/rtp/239.49.8.146:6000$江苏电信
山西卫视,http://121.230.144.64:8000/rtp/239.49.1.51:6000$江苏电信
广东卫视,http://121.230.144.64:8000/rtp/239.49.1.39:6000$江苏电信
广东卫视,http://121.230.144.64:8000/rtp/239.49.8.143:6000$江苏电信
广西卫视,http://121.230.144.64:8000/rtp/239.49.1.40:6000$江苏电信
江苏卫视,http://121.230.144.64:8000/rtp/239.49.1.16:6000$江苏电信
江苏卫视,http://121.230.144.64:8000/rtp/239.49.8.138:6000$江苏电信
